startup_name,date,sector,sub_sector,city,investors,round_type,amount_usd,year,month
Byju’S,2020-01-09,E-Tech,E-learning,Bengaluru,Tiger Global Management,Other,200000000.0,2020.0,1.0
Shuttl,2020-01-13,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,2020.0,1.0
Mamaearth,2020-01-09,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,2020.0,1.0
Https://Www.Wealthbucket.In/,2020-01-02,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-Series A,3000000.0,2020.0,1.0
Fashor,2020-01-02,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Other,1800000.0,2020.0,1.0
Pando,2020-01-13,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,2020.0,1.0
Zomato,2020-01-10,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Other,150000000.0,2020.0,1.0
Ecozen,2019-12-12,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019.0,12.0
Cardekho,2019-12-06,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019.0,12.0
Dhruva Space,2019-12-03,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019.0,12.0
Rivigo,2019-12-13,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Other,20000000.0,2019.0,12.0
Healthians,2019-12-17,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019.0,12.0
Licious,2019-12-16,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,2019.0,12.0
Incred,2019-12-16,Finance,Non-Banking Financial Company,Mumbai,,Other,5900000.0,2019.0,12.0
Trell,2019-12-14,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Other,2000000.0,2019.0,12.0
Rein Games,2019-12-11,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Other,50000000.0,2019.0,12.0
Lenskart.Com,2019-12-20,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Other,231000000.0,2019.0,12.0
Freshworks,2019-11-13,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Other,150000000.0,2019.0,11.0
Misters,2019-11-14,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019.0,11.0
Sunstone Eduversity Pvt. Ltd,2019-11-13,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019.0,11.0
Burger Singh,2019-11-17,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,2019.0,11.0
Healthians,2019-11-18,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019.0,11.0
Ninjacart,2019-11-15,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Other,26000000.0,2019.0,11.0
Aye Finance,2019-11-20,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Other,17411265.0,2019.0,11.0
Supergaming,2019-11-12,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,1300000.0,2019.0,11.0
Clumio,2019-11-20,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019.0,11.0
Ebikego,2019-11-11,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2019.0,11.0
Digital Mall Asia,2019-11-19,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed,220000000.0,2019.0,11.0
Medikabazaar,2019-11-18,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019.0,11.0
Vogo Automotive,2019-11-15,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019.0,11.0
Furtados School Of Music,2019-11-19,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Other,200000000.0,2019.0,11.0
Paytm,2019-11-25,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Other,1000000000.0,2019.0,11.0
Dunzo,2019-10-04,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,2019.0,10.0
Udaan,2019-10-02,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,2019.0,10.0
The Man Company,2019-10-21,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Other,0.0,2019.0,10.0
Fpl Technologies,2019-09-05,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Other,4500000.0,2019.0,9.0
Cashflo,2019-09-04,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,2019.0,9.0
Digital F5,2019-09-04,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Other,6000000.0,2019.0,9.0
3Rdflix,2019-09-04,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0,2019.0,9.0
75F,2019-09-04,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,2019.0,9.0
Myelin Foundry,2019-09-04,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,2019.0,9.0
Atomberg Technology,2019-09-04,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,2019.0,9.0
Goqii,2019-09-04,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019.0,9.0
Vyapar App,2019-09-03,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,2019.0,9.0
Cardekho,2019-08-01,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019.0,8.0
Progcap,2019-08-01,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,5000000.0,2019.0,8.0
Mypetrolpump,2019-08-01,Retail,Fuel Delivery,Bengaluru,,Other,1600000.0,2019.0,8.0
Alteria Capital,2019-08-01,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Other,140000000.0,2019.0,8.0
Pine Labs,2019-08-01,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Other,38080000.0,2019.0,8.0
Meesho,2019-08-12,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,2019.0,8.0
Cars24,2019-08-13,E-Commerce,Car Retail,Gurgaon,MS Dhoni,Series D,11000000.0,2019.0,8.0
Uniphore,2019-08-13,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,2019.0,8.0
Zendrive,2019-08-23,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0,2019.0,8.0
Lo! Foods,2019-08-23,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Other,500000.0,2019.0,8.0
Tala,2019-08-23,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0,2019.0,8.0
Indwealth,2019-08-22,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Other,15000000.0,2019.0,8.0
Hungerbox,2019-08-21,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,2019.0,8.0
Admitkard,2019-08-23,EdTech,University Admissions,Noida,Growth DNA,Other,1000000.0,2019.0,8.0
Mishry Reviews,2019-08-19,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019.0,8.0
Grofers,2019-08-19,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Other,70000000.0,2019.0,8.0
Rapido Bike Taxi,2019-08-27,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,2019.0,8.0
Renewbuy,2019-07-02,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019.0,7.0
Atlan,2019-07-02,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019.0,7.0
Wizcounsel,2019-07-01,Compliance,Consulting,Delhi,Kapil Dev,Seed,145000.0,2019.0,7.0
Ola Cabs,2019-07-03,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Other,1000000.0,2019.0,7.0
Uniphore,2019-07-01,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,2019.0,7.0
Daalchini Technologies,2019-07-04,Food and Beverage,Digital Vending Machine,Delhi,Artha Venture,Other,500000.0,2019.0,7.0
"""Byju\\'S""",2019-07-10,EdTech,Education,Bengaluru,Qatar Investment Authority,Other,150000000.0,2019.0,7.0
Moglix,2019-07-11,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019.0,7.0
Ezyhaul,2019-07-10,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,2019.0,7.0
Indus Os,2019-07-10,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,2019.0,7.0
Healthassure,2019-07-10,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,2019.0,7.0
House Of Msasaba,2019-07-09,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,2019.0,7.0
Board Infinity,2019-07-08,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Other,319605.0,2019.0,7.0
Nobroker,2019-06-05,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,2019.0,6.0
Bira91,2019-06-04,Food and Beverage,Brewery,Delhi,Anicut Capital,Other,10000000.0,2019.0,6.0
Fabhotels,2019-06-03,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Other,4889975.54,2019.0,6.0
Avail Finance,2019-06-03,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,2019.0,6.0
Bharatpe,2019-06-04,Finance,FinTech,Delhi,Insight Partners,Series B,75000000.0,2019.0,6.0
Recykal,2019-06-04,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,26000000.0,2019.0,6.0
Agara Labs,2019-06-03,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,2500000.0,2019.0,6.0
Sistema.Bio,2019-06-06,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Other,2739034.68,2019.0,6.0
Chakr Innovation,2019-06-06,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000.0,2019.0,6.0
Pratilipi,2019-06-06,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,2019.0,6.0
Bolo App,2019-06-10,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed,430200.0,2019.0,6.0
Okcredit,2019-06-10,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,2019.0,6.0
Biz2Credit,2019-06-06,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,2019.0,6.0
Vogo Automotive Pvt. Ltd.,2019-06-08,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Other,3584000.0,2019.0,6.0
Leegality,2019-06-04,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,2019.0,6.0
Ola Electric,2019-05-06,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,2019.0,5.0
Saahas Zero Waste,2019-05-06,Waste Management Service,Optimization,Bengaluru,C4D Partners,Other,868600.0,2019.0,5.0
Styledotme,2019-05-05,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Other,0.0,2019.0,5.0
Blackbuck,2019-05-01,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019.0,5.0
Zenoti,2019-05-02,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,2019.0,5.0
Ather Energy,2019-05-28,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0,2019.0,5.0
Freshvnf,2019-05-28,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Other,140000000.0,2019.0,5.0
Glowroad,2019-05-30,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019.0,5.0
Bira91,2019-05-31,Food and Beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000.0,2019.0,5.0
Kuvera,2019-04-16,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0,2019.0,4.0
Medlife,2019-04-12,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019.0,4.0
Kabadiwala,2019-04-10,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019.0,4.0
Tripoto,2019-04-13,Social Media,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019.0,4.0
Azah,2019-04-12,Health and Wellness,Organic wellness,Gurgaon,Unnamed angel investors,Seed,200000.0,2019.0,4.0
Setu,2019-04-11,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed,3500000.0,2019.0,4.0
Toppr,2019-04-10,Edtech,E-learning,Mumbai,Milestone,Other,6320820.0,2019.0,4.0
Craftsvilla,2019-04-10,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Other,2443495.0,2019.0,4.0
Unacademy,2019-04-10,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Other,307000.0,2019.0,4.0
Clevertap,2019-04-11,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019.0,4.0
My Healthcare,2019-04-19,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,2019.0,4.0
Krazybee,2019-04-19,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,0.0,2019.0,4.0
Shuttl,2019-04-17,Transportation,Bus Aggregation,Gurgaon,New Atlantic Ventures,Other,5000000.0,2019.0,4.0
Increff,2019-04-17,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0,2019.0,4.0
Fleetx,2019-02-01,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre-Series B,0.0,2019.0,2.0
Zilingo,2019-02-08,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019.0,2.0
Nanoclean Global,2019-02-13,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019.0,2.0
Oyorooms,2018-02-14,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Other,100000000.0,2018.0,2.0
Cardekho,2019-01-03,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019.0,1.0
Vyome Therapeutics Inc.,2019-01-04,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019.0,1.0
Samunnati Financial Intermediation & Services Pvt. Ltd,2019-01-04,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Other,5000000.0,2019.0,1.0
Manch,2018-12-04,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed,700000.0,2018.0,12.0
Urbanclap Technologies Pvt. Ltd,2018-12-01,Services Platform,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018.0,12.0
Guiddoo,2018-12-02,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,2018.0,12.0
Career Anna,2018-12-02,Online Education,"Video-based certification, trainings",Gurgaon,Individual Investors,Pre-Series A,572000.0,2018.0,12.0
Nagpur Wholesale,2018-12-04,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed,143000.0,2018.0,12.0
Shopkirana,2018-12-06,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,2000000.0,2018.0,12.0
Buildsupply,2018-12-06,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018.0,12.0
Godesi,2018-11-01,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Other,138995.0,2018.0,11.0
Veritas Finance Ltd.,2018-11-03,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018.0,11.0
Meesho,2018-11-06,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018.0,11.0
Mobile Premier League,2018-11-08,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0,2018.0,11.0
A&R Bon Vivants,2018-11-08,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Other,1000000.0,2018.0,11.0
Blackbuck,2018-11-12,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,2018.0,11.0
Milkbasket,2018-11-12,Food,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,1300000.0,2018.0,11.0
Driveu,2018-11-13,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Other,1000000.0,2018.0,11.0
Cleansecar,2018-11-14,Services,Car Wash,Bengaluru,Venture Catalysts,Other,500000.0,2018.0,11.0
Automation Anywhere,2018-11-19,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0,2018.0,11.0
Healthifyme,2018-11-20,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Other,6000000.0,2018.0,11.0
Genius Corner,2018-11-21,Education,Personalized Learning,Noida,Individual investors,Seed,278000.0,2018.0,11.0
Aavishkaar-Intellecap Group,2018-11-22,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Other,31000000.0,2018.0,11.0
Skillbox,2018-11-22,Social Network,Art,Gurgaon,Individual investors,Seed,0.0,2018.0,11.0
Signzy,2018-11-23,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018.0,11.0
Engineer.Ai,2018-11-24,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,2018.0,11.0
Incred Finance,2018-11-25,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018.0,11.0
Roposo,2018-11-25,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018.0,11.0
Northmist,2018-10-01,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Other,0.0,2018.0,10.0
Origo Commodities India Pvt. Ltd,2018-10-02,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Other,11000000.0,2018.0,10.0
Grover Zampa,2018-10-04,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018.0,10.0
Droom,2018-10-05,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0,2018.0,10.0
Innov8,2018-10-11,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,4000000.0,2018.0,10.0
Blackbuck,2018-10-12,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Other,14680000.0,2018.0,10.0
Letstransport,2018-10-12,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0,2018.0,10.0
Netmeds,2018-09-01,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018.0,9.0
Udaan,2018-09-03,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018.0,9.0
Daily Hunt,2018-09-03,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0,2018.0,9.0
3Hcare,2018-09-04,Healthcare,Healthcare Service Provider,Delhi,,Other,1000000.0,2018.0,9.0
Happygoeasy,2018-09-04,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,2018.0,9.0
Nykaa,2018-09-05,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,2018.0,9.0
Mad Street Den,2018-09-05,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,2018.0,9.0
Dream11,2018-09-06,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018.0,9.0
Mamaearth,2018-09-10,Healthcare,Online Marketplace For Mother and Babycare Products,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.0,2018.0,9.0
Autogrid,2018-09-11,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018.0,9.0
Pharmeasy,2018-09-11,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Other,5500000.0,2018.0,9.0
Upwards,2018-09-11,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018.0,9.0
Kissht,2018-09-12,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018.0,9.0
Dishq,2018-08-01,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Other,400000.0,2018.0,8.0
Healthfin,2018-08-01,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Other,0.0,2018.0,8.0
Samosa Labs,2018-08-02,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018.0,8.0
Ziffyhomes,2018-08-03,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combinator,Private Equity,120000.0,2018.0,8.0
My Omnamo,2018-08-07,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,,Other,1000000.0,2018.0,8.0
Shopx,2018-08-07,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,2018.0,8.0
Makemytrip,2018-08-07,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0,2018.0,8.0
Hansel Io,2018-08-08,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Other,4000000.0,2018.0,8.0
Metro Bikes,2018-08-08,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018.0,8.0
Phone Pe,2018-08-08,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0,2018.0,8.0
Quizizz,2018-08-09,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Other,3000000.0,2018.0,8.0
Happy Emi,2018-08-09,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Other,1000000.0,2018.0,8.0
Inthree,2018-08-13,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Other,4000000.0,2018.0,8.0
Observe Ai,2018-08-13,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018.0,8.0
Enakshi,2018-08-16,Consumer Internet,AI Based Solutions Platform,Ahemadabad,,Other,114811.0,2018.0,8.0
Eazydiner,2018-08-17,Consumer Internet,Online Restaurant Table Reservation Platform,Gurgaon,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018.0,8.0
Finzy,2018-08-20,Finance,Online Loan Matchmaking Platform,Bengaluru,,Other,1000000.0,2018.0,8.0
Rawpressery,2018-08-20,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Other,4800000.0,2018.0,8.0
Pi Ventures,2018-08-22,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,2018.0,8.0
Revv,2018-08-22,Consumer Internet,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018.0,8.0
Zestmoney,2018-08-26,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018.0,8.0
Shubh Loans,2018-08-26,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018.0,8.0
Myupchar,2018-08-27,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018.0,8.0
Narvar,2018-08-28,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018.0,8.0
True North,2018-08-30,Finance,Private Equity Firm,Mumbai,,Private Equity,600000000.0,2018.0,8.0
Leena Ai,2018-07-01,Technology,HR Virtual Agent For Employees,Gurgaon,Y Combinator,Other,0.0,2018.0,7.0
