sector,year,total_funding
360-degree view creating platform,2015.0,0.0
3D Printer Manufacturer,2015.0,3000000.0
AI,2019.0,0.0
API Workflow platform,2015.0,1000000.0
Accounting,2019.0,5000000.0
Activity Based Social Network,2015.0,0.0
Advertising & Marketing Community Networking platform,2015.0,1000000.0
"Advertising, Marketing",2019.0,6000000.0
Aerospace,2019.0,50000000.0
Affordable Education,2015.0,650000.0
Affordable Hotel Booking Online,2015.0,5000000.0
Agriculture,2018.0,500000.0
Agriculture,2019.0,2739034.68
Agtech,2019.0,140000000.0
Algorithmic Match Making Platform,2015.0,0.0
Alternate Mobile Monetization platform,2015.0,5000000.0
App Analytics platform,2015.0,500000.0
App based Bus Pooling Services,2015.0,20000000.0
App based Fitness coaching,2015.0,0.0
App security\\xc2\\xa0 testing platform,2015.0,500000.0
Architectural Design & Consulting,2015.0,500000.0
Artificial Intelligence,2019.0,38080000.0
Artificial Intelligence Ecommerce Chatbot,2015.0,0.0
Artificial Intelligence platform,2015.0,750000.0
Artist / Designer Marketplace,2015.0,0.0
Asset Financing platform,2015.0,1100000.0
Auto,2016.0,0.0
Auto Insurance Online platform,2015.0,500000.0
Auto Rickshaw Based Services,2015.0,5000000.0
Auto Rickshaw based Logistics,2015.0,1000000.0
Automated Storage & Warehousing Solution,2015.0,30000000.0
Automation,2018.0,300000000.0
Automobile,2018.0,3000000.0
Automobile,2019.0,161000000.0
Automotive,2019.0,37000000.0
Automotive Services platform,2015.0,0.0
Autorickshaw Aggregator & Booking platform,2015.0,10000000.0
B2B,2018.0,2000000.0
B2B,2019.0,585000000.0
B2B Marketing,2019.0,26000000.0
B2B Merchandize platform,2015.0,303000.0
B2B Mobile Auction Marketplace,2015.0,450000.0
B2B Platform,2018.0,225000000.0
B2B eCommerce Marketplace,2015.0,5000000.0
B2B logistics delivery platform,2015.0,0.0
B2B marketplace for industrial goods,2015.0,0.0
B2B-focused foodtech startup,2019.0,12000000.0
B2C Messaging App,2015.0,3000000.0
BFSI,2016.0,0.0
Banking Analytics Platform,2015.0,15000000.0
Beauty & Lifestyle Mobile Marketplace,2015.0,2000000.0
Beauty & Lifestyle platform,2015.0,0.0
Beauty & Wellness Mobile App,2015.0,0.0
Beauty & Wellness Products e-tailer,2015.0,9500000.0
Beauty & Wellness Services Marketplace,2015.0,0.0
Beauty and Wellness Marketplace,2015.0,1000000.0
Beauty and Wellness Platform,2015.0,0.0
Beauty and Wellness platform,2015.0,0.0
Beauty services Mobile Marketplace,2015.0,0.0
Bespoke Merchandize Marketplace,2015.0,250000.0
Big Data & Analytics Services,2015.0,35000000.0
Big Data & Analytics platform,2015.0,43000000.0
Big Data & predictive Analysis Platform,2015.0,0.0
Big Data Analytics Platform,2015.0,0.0
Big Data Management Platform,2015.0,5000000.0
Bike Rental Platform,2015.0,790000.0
"Bike, Appliances Renting marketplace",2015.0,0.0
Brain Games Platform,2015.0,0.0
Brand Licensing Startup,2015.0,0.0
Branded Budget Hotel Marketplace,2015.0,300000.0
Branded Food products online sales,2015.0,600000.0
Budget Accommodation Platform,2015.0,1000000.0
Budget Accommodation aggregator,2015.0,3000000.0
Budget Hotel Accommodation,2015.0,100000000.0
Budget Hotel accommodation brand,2015.0,100000000.0
Budget Hotels Aggregator,2015.0,500000.0
Bus Aggregation and rental mobile app,2015.0,750000.0
Business IT Intelligence Services,2015.0,0.0
Business Messaging App,2015.0,16000000.0
Business and IT consulting,2015.0,63000000.0
Business intelligence & Analytics,2015.0,2400000.0
CRM / Analytics platform,2015.0,1000000.0
Cab Aggregator,2015.0,400000000.0
Cab Booking app platform,2015.0,30000000.0
Cab Sharing service Mobile app,2015.0,100000.0
Cab rental Mobile app,2015.0,225000000.0
Cab search Comparison & Booking platform,2015.0,200000.0
Car & Bike ecommerce platform,2015.0,0.0
Car Aggregator & Retail Mobile App,2015.0,500000000.0
Car Maintenance & Management mobile app,2015.0,100000.0
Career Community for Women,2015.0,770000.0
Career Development,2015.0,250000.0
Casual Dating App,2015.0,0.0
Celebrity Fashion Brand,2015.0,7500000.0
Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,2015.0,1000000.0
Chat based personal Assistant App,2015.0,0.0
Chinese food delivery,2015.0,168000.0
Citizens Engagement Platform,2015.0,0.0
Clean Tech,2015.0,0.0
Clean-tech,2018.0,293000.0
Clinical Genomics Provider,2015.0,20000000.0
Cloud Based Collaboration platform,2015.0,100000.0
Cloud Based Hotel Sales Platform,2015.0,0.0
Cloud Data Integration Platform,2015.0,2000000.0
Cloud Enterprise Mobility Platform,2015.0,0.0
Cloud Enterprise Software,2015.0,6000000.0
Cloud software solutions,2015.0,45000000.0
Cloud-based Hotel Booking Platform,2015.0,2000000.0
Clud based Learning platform,2015.0,0.0
Community Driven News/Views Platform,2015.0,600000.0
Competitive exam learning platform,2015.0,2000000.0
Compliance,2019.0,145000.0
Consumer Goods,2019.0,500000.0
Consumer Interne,2016.0,0.0
Consumer Internet,2016.0,1918775000.0
Consumer Internet,2017.0,2595576000.0
Consumer Internet,2018.0,1732483245.0
Consumer Portal,2017.0,120000.0
Consumer Technology,2019.0,10000000.0
Consumer internet,2018.0,1000000.0
Consumer lending marketplace,2015.0,0.0
Content Discovery & reward points platform,2015.0,0.0
Content Management Software Solutions,2015.0,0.0
Content-based Subscription eCommerce platform,2015.0,0.0
Corporate Wellness App,2015.0,1000000.0
Coupon Aggregator Platform,2015.0,20000.0
Credit Card Fraud protection solutions,2015.0,7500000.0
Credit Management Services,2015.0,2500000.0
Cricket Management Mobile Game,2015.0,250000.0
Cross-channel CRM platform,2015.0,4000000.0
Cross-device retargeting platform,2015.0,1200000.0
Crowd Funding Platform,2015.0,700000.0
Crowd funding platform,2015.0,700000.0
Crowdsourced Delivery platform,2015.0,0.0
Curated Freelancer Marketplace,2015.0,0.0
Custom Furniture Marketplace,2015.0,395000.0
Custom Made furniture e-tailer,2015.0,4500000.0
Custom Merchandize platform,2015.0,1000000.0
Customer Engagement Platform,2015.0,625000.0
Customer Service,2019.0,45000000.0
Customer Service Platform,2019.0,51000000.0
Dairy Based Product Manufacturer,2015.0,1800000.0
Data Analytics Platform,2015.0,4200000.0
Data Center Software platform,2015.0,15000000.0
Data Driven Publishing platform,2015.0,3300000.0
Data Driven recruitment recommendation,2015.0,5000000.0
Data Science & UX design Learning platform,2015.0,1700000.0
Deep Learning Cloud Algorithms,2015.0,1000000.0
Deep-Tech,2019.0,2500000.0
Delivery & Logistics Service provider,2015.0,20000000.0
Dental Clinic chain,2015.0,8200000.0
Designer Merchandize Marketplace,2015.0,0.0
Designer fashion Jewellery Marketplace,2015.0,7500000.0
Developer Portfolio Showcase platform,2015.0,70000.0
Device Repair Svcs,2015.0,200000.0
Diagnostic Labs aggregator platform,2015.0,150000.0
Digital & Physical Publishing platform,2015.0,2250000.0
Digital / Mobile Wallet,2015.0,25165000.0
Digital Analytics Platform,2015.0,500000.0
"Digital Coupons, Deal & Cashback aggregator app",2015.0,0.0
Digital Healthcare,2015.0,2000000.0
Digital Intelligent learning platform,2015.0,250000.0
Digital Marketing Services,2015.0,140000.0
Digital Marketing automation solution,2015.0,0.0
Digital Media,2019.0,15539700.0
Digital Media Platform,2015.0,0.0
Digital Media publishing platform,2015.0,0.0
Digital Signal processing platform,2015.0,1000000.0
Doctor Appointment booking app,2015.0,90000000.0
Doctor consultancy Mobile App,2015.0,0.0
Doctors Network Mobile App,2015.0,0.0
Document Digitization platform,2015.0,230000.0
Domestic Help Aggregation platform,2015.0,150000.0
E-Commerce,2017.0,35220000.0
E-Commerce,2018.0,80000089.0
E-Commerce,2019.0,892889975.54
E-Commerce & M-Commerce platform,2015.0,680000000.0
E-Learning Service Provider,2015.0,3000000.0
E-Tech,2020.0,200000000.0
E-commerce,2018.0,21840000.0
E-commerce,2019.0,34374160.0
E-commerce,2020.0,18358860.0
ECommerce,2016.0,186103608.0
ECommerce,2017.0,1692694000.0
ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,2015.0,100000.0
ECommerce Data Analytics Platform,2015.0,0.0
ECommerce Logistics provider,2015.0,5000000.0
ECommerce Website Creation SAAS platform,2015.0,0.0
ECommerce platform solutions,2015.0,0.0
Early Cancer Detection Solutions,2015.0,3000000.0
Easy Business Loans platform,2015.0,0.0
Ecommerce,2016.0,2000000.0
Ecommerce,2017.0,2300000.0
Ecommerce,2018.0,50000000.0
Ecommerce,2019.0,226000000.0
Ecommerce Delivery locker services,2015.0,9000000.0
Ecommerce Discount & Cashback coupons platform,2015.0,3700000.0
Ecommerce Logistics,2015.0,85000000.0
Ecommerce Marketing Software Platform,2015.0,500000.0
Ecommerce Marketplace,2015.0,500000000.0
Ecommerce Product recommendation platform,2015.0,0.0
Ed-Tech,2015.0,300000.0
Ed-Tech,2018.0,33248640.0
Ed-Tech Platform,2015.0,0.0
Ed-tech,2018.0,2000000.0
EdTech,2019.0,151319605.0
Edtech,2019.0,6627820.0
Education,2016.0,82565000.0
Education,2017.0,8200000.0
Education,2018.0,8878000.0
Education,2019.0,201500000.0
Education Content Provider,2015.0,27000000.0
Education Content etailer,2015.0,0.0
Education Marketplace,2015.0,0.0
Educational Board Games,2015.0,168000.0
Efficient Energy Management platform,2015.0,16600000.0
Electric Bike Manufacturers,2015.0,1200000.0
Electric Scooter Manufacturer,2015.0,12000000.0
Electric Scooter manufacturer,2015.0,0.0
Electronic Goods recycling service,2015.0,0.0
Employee OnBoarding & Orientation platform,2015.0,400000.0
End to End reverse logistics Solution platform,2015.0,2000000.0
End-to-End Lending platform,2015.0,8000000.0
End-to-end Logistics platform,2015.0,10000000.0
Energy,2019.0,26000000.0
Energy & Environment Online Marketplace,2015.0,0.0
Energy saving solutions provider,2015.0,0.0
Engineering Innovations,2015.0,0.0
Enterprise Communication Platform,2015.0,0.0
Enterprise Marketing Automation platform,2015.0,500000.0
Entertainment,2018.0,2500000.0
Ethnic Beverages manufacturer,2015.0,30000000.0
Ethnic Product eCommerce,2015.0,18000000.0
Ethnic/ Traditional Fashion Store,2015.0,0.0
Event Ticketing platform,2015.0,490000.0
Event Venue Booking Platform,2015.0,0.0
Exam Preparation Platform,2015.0,220000.0
Exclusive Platform for Doctors & Healthcare professionals,2015.0,700000.0
Express local delivery platform,2015.0,0.0
F&B sector Mobile Payment platform,2015.0,1600000.0
FMCG,2016.0,520000.0
Fashion,2018.0,0.0
Fashion Discovery platform,2015.0,15350000.0
Fashion ECommerce,2015.0,3500000.0
Fashion Ecommerce store,2015.0,5000000.0
Fashion Search & Review Platform,2015.0,0.0
Fashion and Apparel,2020.0,1800000.0
Fashion jewelry and accessories e-tailer,2015.0,15000000.0
Fast food Chain Franchisee,2015.0,630000.0
Fiinance,2018.0,2800000.0
Fin-Tech,2018.0,140700000.0
FinTech,2019.0,1217711265.0
FinTech,2020.0,3000000.0
FinTech Startup Incubation platform,2015.0,100000.0
Finance,2016.0,31700000.0
Finance,2017.0,549070000.0
Finance,2018.0,1086768000.0
Finance,2019.0,303900000.0
Financial Inclusion platform,2015.0,25000000.0
Financial Markets Software,2015.0,400000.0
Financial Products lead generation platform,2015.0,0.0
Financial Services Platform,2015.0,11000000.0
Financial Services Portal,2015.0,3000000.0
Financial Tech,2015.0,0.0
Financial Tech,2018.0,3400000.0
Fine Dining Restaurant Chain,2015.0,30000000.0
Fintech,2019.0,3500000.0
Fitness Marketplace,2015.0,1000000.0
Fitness Tracking Management Solutions,2015.0,13400000.0
Flat rental Mobile App,2015.0,2500000.0
Food,2018.0,10500000.0
Food & Beverage,2016.0,23736000.0
Food & Beverage,2017.0,18500000.0
Food & Beverages,2017.0,175000.0
Food & Beverages,2018.0,3000000.0
Food Customer analytics platform,2015.0,300000.0
Food Delivery Platform,2015.0,4850000.0
Food Delivery platform,2015.0,0.0
Food Discovery & Delivery Mobile app,2015.0,7500000.0
Food Discovery App,2015.0,0.0
Food Logistics & Delivery,2015.0,1000000.0
Food Ordering & Delivery App,2015.0,77000.0
Food Subscription platform,2015.0,10000000.0
Food Tech,2018.0,1000000.0
Food and Beverage,2018.0,138995.0
Food and Beverage,2019.0,22690000.0
Food and Beverages,2018.0,300311200.0
Food discovery & table booking app,2015.0,0.0
Food-Tech,2018.0,400000.0
Freight logistics platform,2015.0,6000000.0
Fund Raising Platform,2015.0,100000.0
Furniture and appliances rental platform,2015.0,0.0
Gaming,2018.0,500000.0
Gaming,2019.0,50000000.0
Gesture based Mobile Development,2015.0,7700000.0
Global Healthcare products,2015.0,16000000.0
Gourmet Food Discovery & Delivery platform,2015.0,0.0
Gourmet Meals Delivery,2015.0,0.0
Government Test Preparation platform,2015.0,400000.0
Grey collar Job Board,2015.0,10000000.0
Grocery Delivery platform,2015.0,1000000.0
Grocery retail Mobile app,2015.0,0.0
Gym & Fitness Studios Subscription platform,2015.0,100000.0
Gym Discovery platform,2015.0,0.0
Hasbro Toy Manufacturer,2015.0,2000000.0
Health & Fitness App,2015.0,0.0
Health Care,2017.0,0.0
Health Care,2019.0,2500000.0
Health Mobile App,2015.0,470000.0
Health and Beauty Services Marketplace,2015.0,250000.0
Health and Wellness,2018.0,6000000.0
Health and Wellness,2019.0,484200000.0
Health and wellness,2019.0,486000.0
"Health, Wellness & Beauty Services App",2015.0,0.0
Health-Tech platform,2015.0,1305000.0
Healthcare,2016.0,15400000.0
Healthcare,2017.0,116043000.0
Healthcare,2018.0,233975000.0
Healthcare,2019.0,15800000.0
